,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28
91,3,90,LVR,Dylan Parham,OL,23,2023,0,0,1,13,13,34,0,0,0,0,0,0,0,0,0,0,0,1,,,Memphis,College Stats
92,3,91,TAM,Rachaad White,RB,23,2023,0,0,0,14,14,34,0,0,0,0,0,401,1471,7,114,839,5,4,,,Arizona St.,College Stats
93,3,92,GNB,Sean Rhyan,OL,23,2023,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,College Stats
94,3,93,SFO,Tyrion Davis-Price,RB,21,2023,0,0,0,1,1,7,0,0,0,0,0,40,120,0,0,0,0,,,,LSU,College Stats
95,3,94,CAR,Matt Corral,QB,23,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,College Stats
96,3,95,CIN,Zachary Carter,DE,23,2023,0,0,1,8,8,33,0,0,0,0,0,0,0,0,0,0,0,18,,0.5,Florida,College Stats
97,3,96,IND,Nick Cross,DB,20,2023,0,0,0,4,4,33,0,0,0,0,0,0,0,0,0,0,0,35,1,,Maryland,College Stats
98,3,97,DET,Kerby Joseph,DB,21,2023,0,0,1,10,10,32,0,0,0,0,0,0,0,0,0,0,0,124,8,,Illinois,College Stats
99,3,98,WAS,Brian Robinson Jr.,RB,23,2023,0,0,1,10,10,27,0,0,0,0,0,383,1530,7,45,428,5,1,,,Alabama,College Stats
100,3,99,CLE,David Bell,WR,21,2023,0,0,0,3,3,31,0,0,0,0,0,0,0,0,38,381,3,1,,,Purdue,College Stats
101,3,100,ARI,Myjai Sanders,DE,24,2023,0,0,0,3,2,20,0,0,0,0,0,0,0,0,0,0,0,21,,3.0,Cincinnati,College Stats
102,3,101,NYJ,Jeremy Ruckert,TE,22,2023,0,0,0,1,1,24,0,0,0,0,0,0,0,0,17,159,0,1,,,Ohio St.,College Stats
103,3,102,MIA,Channing Tindall,LB,22,2023,0,0,0,2,2,33,0,0,0,0,0,0,0,0,0,0,0,4,,,Georgia,College Stats
104,3,103,KAN,Leo Chenal,LB,21,2023,0,0,0,9,9,34,0,0,0,0,0,0,0,0,0,0,0,59,,4.0,Wisconsin,College Stats
105,3,104,LAR,Logan Bruss,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Wisconsin,College Stats
106,3,105,SFO,Danny Gray,WR,23,2022,0,0,0,0,0,13,0,0,0,0,0,1,9,0,1,10,0,,,,SMU,College Stats
107,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
108,4,106,TAM,Cade Otton,TE,23,2023,0,0,1,7,7,33,0,0,0,0,0,0,0,0,89,846,6,5,,,Washington,College Stats
